an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,Richesse foncière uniformisée (RFU),Évaluation imposable uniformisée autre,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums),Évaluation moyenne uniformisée par logement,RFU par unité d'évaluation imposable et compensable,Indice RFU par unité d'évaluation imposable et compensable,Nombre d'unité d'évaluation imposable et compensable,Évaluation uniformisée des immeubles imposables,Évaluation imposable uniformisée résidentielle,Évaluation imposable uniformisée industrielle et commerciale,Évaluation imposable uniformisée agricole
2023,2023,71055,Pointe-des-Cascades,VL,1813,1 @ 1 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,278022514.0,4240236.0,0.9581,0.0266,,0.0153,410348.0,340513.0,371688.0,214.0,748.0,277472426.0,265857592.0,7374598.0,
2023,2023,71060,L'Île-Perrot,V,11547,10 000 @ 24 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2177244395.04,22524480.0,0.8917,0.0978,,0.0105,451141.0,355857.0,510611.0,122.0,4264.0,2143713528.0,1911615156.0,209573892.0,
2023,2023,71065,Notre-Dame-de-l'Île-Perrot,V,11693,10 000 @ 24 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2709061451.52,61234048.0,0.933,0.03,0.0143,0.0227,608850.0,589884.0,572740.0,137.0,4730.0,2693080320.0,2512530560.0,80759168.0,38556544.0
2023,2023,71070,Pincourt,V,15338,10 000 @ 24 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,2901945198.08,21060224.0,0.9287,0.0639,,0.0074,482757.0,451169.0,535217.0,128.0,5422.0,2844077824.0,2641275648.0,181741952.0,
2023,2023,71075,Terrasse-Vaudreuil,M,1995,1 @ 1 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,337860177.84,882304.0,0.9569,0.0404,,0.0027,454031.0,374447.0,480598.0,276.0,703.0,332353376.0,318042654.0,13428418.0,
2023,2023,71083,Vaudreuil-Dorion,V,43228,25 000 @ 99 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,10220661015.04,276275584.0,0.7569,0.2061,0.0094,0.0276,485212.0,429060.0,611210.0,121.0,16722.0,10024934272.0,7588164864.0,2066301824.0,94192000.0
2023,2023,71090,Vaudreuil-sur-le-Lac,VL,1379,1 @ 1 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,343879746.0,15222762.0,0.8993,0.0564,,0.0443,628230.0,600931.0,650056.0,374.0,529.0,343879746.0,309254526.0,19402458.0,
2023,2023,71095,L'Île-Cadieux,V,128,1 @ 1 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,108686302.0,1230483.0,0.9887,0.0,,0.0113,1605279.0,1488274.0,1278662.0,735.0,85.0,108686302.0,107455617.0,202.0,
2023,2023,71100,Hudson,V,5614,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,1967836875.52,83400960.0,0.913,0.0355,0.0085,0.0429,770051.0,706593.0,704056.0,256.0,2795.0,1942721280.0,1773716480.0,69060864.0,16542976.0
2023,2023,71105,Saint-Lazare,V,22773,10 000 @ 24 999,AR710,Vaudreuil-Soulanges,16,Montérégie,CM663,Communauté métropolitaine de Montréal,5108628221.83,104047496.0,0.9372,0.0327,0.0094,0.0207,619476.0,591896.0,605073.0,145.0,8443.0,5030224255.0,4714529736.0,164570875.0,47076148.0
2023,2023,72005,Saint-Eustache,V,46434,25 000 @ 99 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,8911207445.52,175397541.0,0.7594,0.1948,0.0254,0.0203,399433.0,326886.0,525797.0,104.0,16948.0,8626586379.0,6551058272.0,1680859859.0,219270707.0
2023,2023,72010,Deux-Montagnes,V,18394,10 000 @ 24 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,2631260937.2,18784096.0,0.9638,0.0281,0.0007,0.0073,369557.0,309931.0,421474.0,101.0,6243.0,2557544316.0,2465071610.0,71994640.0,1693970.0
2023,2023,72015,Sainte-Marthe-sur-le-Lac,V,20922,10 000 @ 24 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,3260118357.9,93557490.0,0.9346,0.0363,,0.0292,398934.0,370694.0,397575.0,95.0,8200.0,3207266820.0,2997361785.0,116347545.0,
2023,2023,72020,Pointe-Calumet,M,6377,2 000 @ 9 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,788010904.0,10243700.0,0.9556,0.0312,,0.0132,291382.0,267128.0,293377.0,107.0,2686.0,774450300.0,740072500.0,24134100.0,
2023,2023,72025,Saint-Joseph-du-Lac,M,7338,2 000 @ 9 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,1298023378.0,34474900.0,0.8125,0.0585,0.1021,0.0269,422306.0,361320.0,439115.0,160.0,2956.0,1282673100.0,1042127600.0,75098100.0,130972500.0
2023,2023,72032,Oka,M,6123,2 000 @ 9 999,AR720,Deux-Montagnes,15,Laurentides,CM663,Communauté métropolitaine de Montréal,929444000.0,27714000.0,0.7688,0.0699,0.1257,0.0356,398244.0,353612.0,383434.0,139.0,2424.0,778848600.0,598785200.0,54479800.0,97869600.0
2023,2023,73005,Boisbriand,V,28122,25 000 @ 99 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,5773661200.0,69163200.0,0.7699,0.2131,0.0048,0.0122,461113.0,365909.0,621158.0,123.0,9295.0,5684316900.0,4376427200.0,1211397700.0,27328800.0
2023,2023,73010,Sainte-Thérèse,V,26702,25 000 @ 99 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,4696901534.0,18065200.0,0.8803,0.1147,0.0009,0.0041,410569.0,276784.0,585284.0,116.0,8025.0,4401982900.0,3875240200.0,504814800.0,3862700.0
2023,2023,73015,Blainville,V,62643,25 000 @ 99 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,12900587731.25,193037250.0,0.8723,0.1105,0.0021,0.0152,547971.0,467967.0,628898.0,125.0,20513.0,12706770375.0,11083484500.0,1404106625.0,26142000.0
2023,2023,73020,Rosemère,V,14535,10 000 @ 24 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,4226364771.2,21334313.0,0.7994,0.1954,,0.0052,654243.0,607447.0,773776.0,185.0,5462.0,4102130747.0,3279354507.0,801441927.0,
2023,2023,73025,Lorraine,V,9715,2 000 @ 9 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,2185268114.9,17040270.0,0.9835,0.0086,,0.0079,617991.0,614248.0,623116.0,227.0,3507.0,2160443610.0,2124830630.0,18572710.0,
2023,2023,73030,Bois-des-Filion,V,10480,10 000 @ 24 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,1785205560.32,16238592.0,0.8835,0.1073,,0.0092,395342.0,340936.0,480669.0,115.0,3714.0,1761006336.0,1555811584.0,188956160.0,
2023,2023,73035,Sainte-Anne-des-Plaines,V,15905,10 000 @ 24 999,AR730,Thérèse-De Blainville,15,Laurentides,CM663,Communauté métropolitaine de Montréal,2270218905.6,26667136.0,0.8148,0.0652,0.107,0.013,326868.0,280726.0,410825.0,98.0,5526.0,2058601984.0,1677407616.0,134311040.0,220216192.0
2023,2023,74005,Mirabel,V,64032,25 000 @ 99 999,AR741,Hors MRC - Mirabel,15,Laurentides,CM663,Communauté métropolitaine de Montréal,12990992244.0,308034900.0,0.7229,0.152,0.1006,0.0245,438641.0,352764.0,557171.0,110.0,23316.0,12574680000.0,9089863700.0,1911819400.0,1264962000.0
